Year,Productivity,Region
1998,84.9,North East
1999,85.7,North East
2000,85.3,North East
2001,86.5,North East
2002,86.9,North East
2003,86,North East
2004,88.5,North East
2005,86.7,North East
2006,86.1,North East
2007,84.5,North East
2008,84.4,North East
2009,84.4,North East
2010,84.8,North East
2011,85.9,North East
2012,86.6,North East
2013,84.7,North East
2014,85.2,North East
2015,85,North East
2016,85.8,North East
2017,84,North East
2018,82.2,North East
2019,84.5,North East
2020,82.8,North East
2021,82,North East
2022,84.6,North East
1998,137.2,London
1999,135.5,London
2000,135.5,London
2001,134.5,London
2002,136.9,London
2003,137.9,London
2004,139.8,London
2005,142.4,London
2006,143.3,London
2007,147.7,London
2008,143.6,London
2009,143.6,London
2010,146.3,London
2011,146.4,London
2012,143.3,London
2013,142.4,London
2014,143.1,London
2015,143.1,London
2016,145,London
2017,142.5,London
2018,142.6,London
2019,141.4,London
2020,137.5,London
2021,135.6,London
2022,133.3,London
1998,110.1,South East
1999,109.7,South East
2000,109.1,South East
2001,108.6,South East
2002,107.7,South East
2003,108,South East
2004,107.2,South East
2005,107.1,South East
2006,106.9,South East
2007,105.7,South East
2008,107.9,South East
2009,107.9,South East
2010,106.8,South East
2011,106.9,South East
2012,106.5,South East
2013,107,South East
2014,106.3,South East
2015,106.4,South East
2016,103.8,South East
2017,105.3,South East
2018,106.9,South East
2019,107.1,South East
2020,112.2,South East
2021,109.4,South East
2022,110.1,South East
1998,90,South West
1999,91.7,South West
2000,92.9,South West
2001,92.6,South West
2002,91.7,South West
2003,91.2,South West
2004,90.8,South West
2005,90.2,South West
2006,89.8,South West
2007,88.5,South West
2008,89.7,South West
2009,88.7,South West
2010,88.7,South West
2011,87.7,South West
2012,88.9,South West
2013,87.5,South West
2014,87.6,South West
2015,87.1,South West
2016,87.6,South West
2017,88.3,South West
2018,87.1,South West
2019,87.4,South West
2020,87.4,South West
2021,90.7,South West
2022,90.4,South West
1998,88.4,North West
1999,88.3,North West
2000,87.5,North West
2001,90.1,North West
2002,89.5,North West
2003,87.7,North West
2004,89.2,North West
2005,89.6,North West
2006,87.9,North West
2007,86.7,North West
2008,85.8,North West
2009,86.3,North West
2010,86.4,North West
2011,88.5,North West
2012,89.3,North West
2013,87.4,North West
2014,87,North West
2015,87.3,North West
2016,88,North West
2017,86.3,North West
2018,84.4,North West
2019,86.8,North West
2020,85.7,North West
2021,83.7,North West
2022,87.4,North West
